rank,feature,coefficient,abs_importance
181,categorical__order_country_Bangladés,-0.3082949114091158,0.3082949114091158
182,categorical__order_city_Cologne,0.30481262125180064,0.30481262125180064
183,categorical__order_city_The Hague,0.30335531794624665,0.30335531794624665
184,categorical__order_city_Rabat,-0.3033419847162989,0.3033419847162989
185,categorical__order_country_Japón,-0.29982472007366484,0.29982472007366484
186,categorical__order_city_Barcelona,-0.29732316368552975,0.29732316368552975
187,categorical__order_country_Jordania,0.2937645022027171,0.2937645022027171
188,categorical__order_city_Presidente Dutra,0.29221893650634706,0.29221893650634706
189,categorical__order_region_Southeast Asia,0.2873892742275107,0.2873892742275107
190,categorical__order_country_Arabia Saudí,-0.2872623337328498,0.2872623337328498
191,categorical__order_city_Guadalajara,0.28363478150762933,0.28363478150762933
192,categorical__order_country_Nicaragua,0.28303440012883,0.28303440012883
193,categorical__order_city_Bradford,0.2826042460249295,0.2826042460249295
194,categorical__order_city_Lima,-0.2821518609810634,0.2821518609810634
195,categorical__category_name_Soccer,-0.28019108252523545,0.28019108252523545
196,categorical__order_city_Las Tunas,-0.280122892698259,0.280122892698259
197,categorical__order_city_Bursa,-0.27948409833987364,0.27948409833987364
198,categorical__order_city_Santiago de Chile,0.2775636700654388,0.2775636700654388
199,categorical__product_id_278,-0.2770350851478819,0.2770350851478819
200,categorical__order_city_Estambul,-0.27644850459146664,0.27644850459146664
201,categorical__order_city_Yakarta,0.27595678235720333,0.27595678235720333
202,categorical__order_region_East Africa,-0.27538290172457625,0.27538290172457625
203,categorical__order_city_Melbourne,0.2752254041700146,0.2752254041700146
204,categorical__order_city_León,-0.274705181164758,0.274705181164758
205,categorical__order_city_Mixco,-0.27275984639007483,0.27275984639007483
206,categorical__order_country_República Democrática del Congo,0.2723366961893527,0.2723366961893527
207,categorical__order_city_Rochester,-0.2710205075987744,0.2710205075987744
208,categorical__product_id_642,0.27039099484026896,0.27039099484026896
209,categorical__order_country_El Salvador,-0.26819936669643346,0.26819936669643346
210,categorical__order_country_Camerún,-0.2663427500572677,0.2663427500572677
211,categorical__order_city_Toulouse,0.26570048603077584,0.26570048603077584
212,categorical__order_country_Panamá,-0.2642927034969656,0.2642927034969656
213,categorical__order_city_Nom Pen,0.2641178530084052,0.2641178530084052
214,categorical__order_country_Camboya,0.2641178530084052,0.2641178530084052
215,categorical__order_city_Saltillo,-0.2632803159133988,0.2632803159133988
216,categorical__order_country_Portugal,-0.26320722979464556,0.26320722979464556
217,categorical__product_id_273,-0.2630220161807311,0.2630220161807311
218,categorical__order_city_Tampa,0.2620781111395981,0.2620781111395981
219,categorical__product_id_1073,-0.2607010604397578,0.2607010604397578
220,categorical__order_city_Managua,-0.26045118150869645,0.26045118150869645
221,categorical__order_region_Eastern Europe,0.25809637191972584,0.25809637191972584
222,categorical__order_city_Newcastle,-0.25741038927023224,0.25741038927023224
223,categorical__order_city_Mashhad,0.2574039720468704,0.2574039720468704
224,categorical__order_city_Christchurch,0.2552685924736974,0.2552685924736974
225,categorical__order_city_Manukau City,0.25495814387142374,0.25495814387142374
226,categorical__order_city_London,0.2509232920045064,0.2509232920045064
227,categorical__order_city_La Romana,-0.24954131029349547,0.24954131029349547
228,categorical__order_city_Columbia,0.24939801469047937,0.24939801469047937
229,categorical__order_city_Rome,-0.2484159173208633,0.2484159173208633
230,categorical__order_city_Brisbane,0.2451156270519068,0.2451156270519068
231,categorical__product_id_116,0.24505043622939854,0.24505043622939854
232,categorical__category_name_Tennis & Racquet,0.24505043622939854,0.24505043622939854
233,categorical__order_country_Ghana,0.2442432445733373,0.2442432445733373
234,categorical__order_country_Países Bajos,-0.24273382554450262,0.24273382554450262
235,categorical__order_city_Duisburg,0.24267423736575977,0.24267423736575977
236,categorical__order_city_Reims,0.24201993859573498,0.24201993859573498
237,categorical__order_city_Mejicanos,0.24186651283419236,0.24186651283419236
238,categorical__order_city_Tepic,0.24014071385518546,0.24014071385518546
239,categorical__product_id_835,0.2398479109695618,0.2398479109695618
240,categorical__order_region_Central America,0.23794258499815013,0.23794258499815013
241,categorical__order_country_Corea del Sur,0.2376286620618044,0.2376286620618044
242,categorical__order_country_Colombia,0.2374765689261716,0.2374765689261716
243,categorical__product_id_728,-0.2369398910990513,0.2369398910990513
244,categorical__order_city_Palembang,-0.23647908605161147,0.23647908605161147
245,categorical__order_country_Angola,0.23616744530756145,0.23616744530756145
246,categorical__order_city_El Progreso,0.23511063010363914,0.23511063010363914
247,categorical__order_city_Jackson,0.2342049796394216,0.2342049796394216
248,categorical__order_city_Santa Clara,0.23060715054467026,0.23060715054467026
249,categorical__order_city_Chicago,0.23028858175489422,0.23028858175489422
250,categorical__order_city_Sonsonate,0.22913262723459135,0.22913262723459135
251,categorical__category_name_Men's Golf Clubs,-0.22888884361792217,0.22888884361792217
252,categorical__order_city_Kabul,0.22836916269992785,0.22836916269992785
253,categorical__order_country_Ucrania,-0.22632802345959724,0.22632802345959724
254,categorical__order_city_San Pedro Sula,-0.22572319722090256,0.22572319722090256
255,categorical__order_city_Munich,-0.22484519068606532,0.22484519068606532
256,categorical__order_city_Monterrey,-0.2243445670752545,0.2243445670752545
257,categorical__order_city_Jacksonville,0.22419806955806812,0.22419806955806812
